name,desc,type, bw ,mw,pl,ms,md,water,,,,,,,,,,,,,,,,,
T5-7A,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.35,1.09,,,,,,,,,,,,,,,,,
T5-7B,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.45,1.09,,,,,,,,,,,,,,,,,
T5-7D,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.35,1.09,,,,,,,,,,,,,,,,,
T6-4C,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.49,1.09,,,,,,,,,,,,,,,,,
T6-4D,Veg 08,As-Built,0.16,0.05,0.03,0.23,0.36,1.09,,,,,,,,,,,,,,,,,
T6-5A,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.39,1.09,,,,,,,,,,,,,,,,,
T6-5B,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.41,1.09,,,,,,,,,,,,,,,,,
T6-5C,Veg 08,As-Built,0.16,0.05,0.03,0.23,0.29,1.09,,,,,,,,,,,,,,,,,
T6-5D,Veg 08,As-Built,0.16,0.05,0.03,0.23,0.26,1.09,,,,,,,,,,,,,,,,,
T6-6A,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.44,1.09,,,,,,,,,,,,,,,,,
T6-6B,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.44,1.09,,,,,,,,,,,,,,,,,
T6-6C,Veg 08,As-Built,0.16,0.05,0.03,0.23,0.27,1.09,,,,,,,,,,,,,,,,,
T6-6D,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.37,1.09,,,,,,,,,,,,,,,,,
T6-7A,Veg 08,As-Built,0.16,0.05,0.02,0.23,0.36,1.09,,,,,,,,,,,,,,,,,
T6-7B,Veg 08,As-Built,0.22,0.05,0.03,0.23,0.24,1.09,,,,,,,,,,,,,,,,,
T6-7C,Veg 08,As-Built,0.22,0.05,0.04,0.25,0.18,1.09,,,,,,,,,,,,,,,,,
T6-7D,Veg 08,As-Built,0.22,0.05,0.03,0.23,0.19,1.09,,,,,,,,,,,,,,,,,
T10-1a, DWM_JanApr ,As-Built,0.00,0.02,0.19,0.29,0.00,1.11,,,,,,,,,,,,,,,,,
T16,T16 as-built,As-Built,0.00,0.35,0.19,0.60,0.00,1.21,,,,,,,,,,,,,,,,,
T4-3,SFL,As-Built,0.00,0.02,0.32,0.39,0.00,1.22,,,,,,,,,,,,,,,,,
T2-2_b,DWM_OctApr,As-Built,0.00,0.44,0.21,0.64,0.00,1.23,,,,,,,,,,,,,,,,,
T5-2,SFL,As-Built,0.00,0.20,0.32,0.51,0.00,1.24,,,,,,,,,,,,,,,,,
T5-3,SFL,As-Built,0.36,0.25,0.32,0.50,0.02,1.29,,,,,,,,,,,,,,,,,
T9, DWM_DecApr ,As-Built,0.00,0.09,0.25,0.48,0.00,1.30,,,,,,,,,,,,,,,,,
T13-1 Addition, DWM_JanApr ,As-Built,0.00,0.00,0.04,0.20,0.00,1.50,,,,,,,,,,,,,,,,,
T2-1_b,DWM_OctApr,As-Built,0.00,0.42,0.17,0.55,0.00,1.68,,,,,,,,,,,,,,,,,
T5-4,SFL,As-Built,0.00,0.00,0.00,0.03,0.00,1.70,,,,,,,,,,,,,,,,,
T36-2W,T36-2W as-built,As-Built,0.00,0.21,0.17,0.52,0.00,1.74,,,,,,,,,,,,,,,,,
T4-4,SFP,As-Built,0.00,0.14,0.13,0.56,0.00,1.74,,,,,,,,,,,,,,,,,
T4-5,SFP,As-Built,0.00,0.00,0.03,0.17,0.00,1.80,,,,,,,,,,,,,,,,,
T23NE,T23NE as-built,As-Built,0.00,0.04,0.08,0.30,0.00,1.84,,,,,,,,,,,,,,,,,
T28S,T28S as-built,As-Built,0.26,0.41,0.23,0.54,0.10,2.05,,,,,,,,,,,,,,,,,
T18S,SFP (step0),As-Built,0.00,0.23,0.12,0.55,0.00,2.13,,,,,,,,,,,,,,,,,
T1A-2,T1A-2 as-built,As-Built,0.00,0.55,0.18,0.55,0.07,2.15,,,,,,,,,,,,,,,,,
T10-1, DWM_NovMay ,As-Built,0.00,0.19,0.35,0.57,0.00,2.19,,,,,,,,,,,,,,,,,
T21W, DWM_JanApr ,As-Built,0.00,0.02,0.01,0.19,0.00,2.25,,,,,,,,,,,,,,,,,
T27N,SFL,As-Built,0.00,0.19,0.40,0.50,0.00,2.30,,,,,,,,,,,,,,,,,
T27S,SFL,As-Built,0.00,0.16,0.44,0.49,0.00,2.30,,,,,,,,,,,,,,,,,
T26,SFL,As-Built,0.00,0.31,0.41,0.54,0.00,2.31,,,,,,,,,,,,,,,,,
T10-3E, DWM_JanApr ,As-Built,0.00,0.02,0.11,0.31,0.00,2.32,,,,,,,,,,,,,,,,,
T25-3, DWM_JanApr ,As-Built,0.00,0.01,0.00,0.16,0.00,2.37,,,,,,,,,,,,,,,,,
T28N,T28N as-built,As-Built,0.35,0.32,0.14,0.46,0.21,2.45,,,,,,,,,,,,,,,,,
T2-1 Addition_a,SFL,As-Built,0.00,0.25,0.33,0.57,0.01,2.49,,,,,,,,,,,,,,,,,
T18-0, DWM_JanApr ,As-Built,0.00,0.27,0.09,0.47,0.00,2.57,,,,,,,,,,,,,,,,,
 T37-2b , DWM_JanApr ,As-Built,0.00,0.00,0.07,0.14,0.00,2.57,,,,,,,,,,,,,,,,,
 T37-2c , DWM_JanApr ,As-Built,0.00,0.00,0.07,0.14,0.00,2.57,,,,,,,,,,,,,,,,,
T10-2N, DWM_JanApr ,As-Built,0.00,0.12,0.20,0.45,0.00,2.59,,,,,,,,,,,,,,,,,
T37-2,DWM_JanMay,As-Built,0.00,0.02,0.10,0.35,0.00,2.62,,,,,,,,,,,,,,,,,
T25S,SFL (step0),As-Built,0.00,0.27,0.44,0.60,0.00,2.63,,,,,,,,,,,,,,,,,
T3SE Addition,SFL,As-Built,0.00,0.00,0.16,0.23,0.00,2.68,,,,,,,,,,,,,,,,,
T1-1, DWM_DecApr ,As-Built,0.00,0.06,0.10,0.42,0.00,2.72,,,,,,,,,,,,,,,,,
T36-2E,SFP,As-Built,0.00,0.22,0.14,0.49,0.00,2.74,,,,,,,,,,,,,,,,,
T37-2a,DWM_OctMay,As-Built,0.00,0.04,0.39,0.46,0.00,2.76,,,,,,,,,,,,,,,,,
T37-2d,DWM_JanMay,As-Built,0.00,0.02,0.19,0.29,0.00,2.76,,,,,,,,,,,,,,,,,
T18N Addition,SFP,As-Built,0.00,0.18,0.08,0.58,0.00,2.84,,,,,,,,,,,,,,,,,
T25N,SFL,As-Built,0.00,0.30,0.22,0.56,0.00,2.84,,,,,,,,,,,,,,,,,
 T1A-4 ,SFLS,As-Built,0.00,0.00,0.10,0.28,0.00,2.87,,,,,,,,,,,,,,,,,
