MP Name,StdPolygon,BACM_Type,AirSci Acres,AirSci Acres Sum,Phase,BACM_Typ_1,Cent_N,Cent_E,MP Acres
 T23NE ,T23NE,99% Efficiency Wetting Basins (2003),36.0035,251.3601,1,Brine,4035638.788,421548.6005,251.4
 T23NE ,T23NE,99% Efficiency Wetting Basins (2003),38.6176,251.3601,1,Shallow Flooding,4036116.961,422351.1478,251.4
 T23NW ,T23NW,99% Efficiency Wetting Basins (2003),158.605,220.1142,1,Shallow Flooding,4034702.47,419767.3271,220.1
 T23NW ,T23NW,99% Efficiency Wetting Basins (2003),61.5092,220.1142,1,Shallow Flooding,4035102.525,420512.2133,220.1
 T23SE ,T23SE,99% Efficiency Wetting Basins (2003),475.799,475.799,1,Shallow Flooding,4034880.418,421898.5043,475.8
 T23SW ,T23SW,99% Efficiency Wetting Basins (2003),225.447,225.447,1,Shallow Flooding,4034431.261,420581.0852,225.4
 T24 ,T24,99% Efficiency Wetting Basins (2003),1019.6,1099.6737,1,Shallow Flooding,4036869.834,421006.5308,1099.7
 T24 ,T24,99% Efficiency Wetting Basins (2003),80.0737,1099.6737,1,Shallow Flooding,4035812.036,420589.3395,1099.7
 T2-4 ,T2-4,Tillage With BACM Backup,92.3088,180.2154,5,Brine,4022597.95,411959.2951,180.3
 T2-4 ,T2-4,Tillage With BACM Backup,56.9743,180.2154,5,Tillage With BACM Backup,4022131.107,411525.0913,180.3
 T2-4 ,T2-4,Tillage With BACM Backup,30.9323,180.2154,5,Tillage With BACM Backup,4022383.448,412101.1423,180.3
 T24 Addition ,T24 Addition,Tillage With BACM Backup,42.3139,42.3139,4,Tillage With BACM Backup,4037144.362,422134.4697,42.3
 T2-5 ,T2-5,Brine,65.2255,65.2255,5,Brine,4023146.653,412068.8037,65.2
 T25-3 ,T25-3,Wetting Basins with Reduced Compliance Efficiency,160.523,160.523,7,Shallow Flooding,4035412.167,418248.0174,170.2
 T25N ,T25N,99% Efficiency Wetting Basins (2003),257.315,257.315,1,Shallow Flooding,4036921.974,418671.535,257.3
 T25S ,T25S,99% Efficiency Wetting Basins (2003),818.267,818.267,1,Shallow Flooding,4035720.335,419265.7284,818.3
 T26 ,T26,99% Efficiency Wetting Basins (2003),489.274,851.238,1,Sprinkler Shallow Flooding,4038338.597,420075.5421,851.2
 T26 ,T26,99% Efficiency Wetting Basins (2003),361.964,851.238,1,Shallow Flooding,4037993.774,419153.9717,851.2
 T27 Addition ,T27 Addition,Brine,50.364,50.364,5,Brine,4038516.052,416454.8756,50.4
 T27N ,T27N,99% Efficiency Wetting Basins (2003),547.63,547.63,1,Shallow Flooding,4039184.28,416975.7119,547.6
 T27S ,T27S,99% Efficiency Wetting Basins (2003),545.268,545.268,1,Shallow Flooding,4037988.217,417983.2106,545.3
 T28N ,T28N,99% Efficiency Wetting Basins (2003),106.195,453.2411,7A,Sprinkler Shallow Flooding,4039974.593,417579.9116,453
 T28N ,T28N,Gravel,29.8415,453.2411,7A,Gravel,4040125.998,418436.7934,453
 T28N ,T28N,99% Efficiency Wetting Basins (2003),22.9087,453.2411,7A,Shallow Flooding,4040871.446,418136.583,453
 T28N ,T28N,Gravel,61.8416,453.2411,7A,Gravel,4039884.287,417855.0945,453
 T28N ,T28N,99% Efficiency Wetting Basins (2003),18.8298,453.2411,7A,Sprinkler Shallow Flooding,4039627.616,418213.0506,453
 T28N ,T28N,99% Efficiency Wetting Basins (2003),11.348,453.2411,7A,Sprinkler Shallow Flooding,4039459.72,418171.1939,453
 T28N ,T28N,Managed Vegetation,31.6743,453.2411,7A,Managed Vegetation,4040023.227,418627.5635,453
 T28N ,T28N,Managed Vegetation,13.2592,453.2411,7A,Managed Vegetation,4040764.774,418310.3211,453
 T28N ,T28N,Managed Vegetation,157.343,453.2411,7A,Managed Vegetation,4040391.866,418025.3063,453
 T28S ,T28S,99% Efficiency Wetting Basins (2003),186.256,300.2675,7A,Sprinkler Shallow Flooding,4039185.683,418907.3142,300
 T28S ,T28S,Gravel,38.5664,300.2675,7A,Gravel,4039415.457,419127.4721,300
 T28S ,T28S,Gravel,18.9775,300.2675,7A,Gravel,4039143.421,418657.5776,300
 T28S ,T28S,Managed Vegetation,56.4676,300.2675,7A,Managed Vegetation,4039548.688,419205.2552,300
 T29-1 ,T29-1,99% Efficiency Wetting Basins (2003),219.762,219.762,5,Shallow Flooding,4041671.911,415673.5144,219.8
 T29-2 ,T29-2,99% Efficiency Wetting Basins (2003),361.52,479.482,5,Shallow Flooding,4040731.441,415754.8389,479.5
 T29-2 ,T29-2,99% Efficiency Wetting Basins (2003),117.962,479.482,5,Sprinkler Shallow Flooding,4040714.518,416602.7672,479.5
 T29-3 ,T29-3,99% Efficiency Wetting Basins (2003),258.065,258.065,5,Brine,4040074.266,415673.717,258.1
 T29-4 ,T29-4,Tillage With BACM Backup,126.703,162.9149,5,Shallow Flooding,4039592.064,415512.493,163.3
 T29-4 ,T29-4,Tillage With BACM Backup,36.2119,162.9149,5,Brine,4039271.821,415652.0521,163.3
 T30-1 ,T30-1,99% Efficiency Wetting Basins (2003),225.919,686.4544,7A,Shallow Flooding,4042124.074,417108.8087,689.3
 T30-1 ,T30-1,99% Efficiency Wetting Basins (2003),39.8144,686.4544,7A,Managed Vegetation,4040971.928,418345.9749,689.3
 T30-1 ,T30-1,Managed Vegetation,420.721,686.4544,7A,Managed Vegetation,4041888.268,417965.203,689.3
 T30-2 ,T30-2,99% Efficiency Wetting Basins (2003),316.91,316.91,5,Shallow Flooding,4041600.14,416924.1332,316.9
 T30-3 ,T30-3,99% Efficiency Wetting Basins (2003),172.841,172.841,5,Shallow Flooding,4041202.45,416687.8427,172.8
 T32-1 ,T32-1,Managed Vegetation,74.2032,112.1842,7A,Managed Vegetation,4042843.718,415697.7273,112.2
 T32-1 ,T32-1,Managed Vegetation,37.981,112.1842,7B,No BACM,4042822.299,415912.0497,112.2
 T32-2 ,T32-2,No DCM,601.282,601.282,9,Gravel,4043776.07,415367.6771,601.2
 T35-1 ,T35-1,Gravel,67.3092,67.3092,5,Gravel,4042764.917,410312.7898,67.3
 T35-2 ,T35-2,Gravel,91.2334,91.2334,5,Gravel,4042264.331,410363.7467,91.6
 T35-3 ,T35-3,No DCM,30.9815,30.9815,9,Gravel,4041819.512,410985.4548,31
 T36-1E ,T36-1E,99% Efficiency Wetting Basins (2003),160.672,288.358,5,Shallow Flooding,4040728.293,413237.197,288.4
 T36-1E ,T36-1E,Managed Vegetation,127.686,288.358,7A,Managed Vegetation,4041223.538,413005.3519,288.4
 T36-1W ,T36-1W,99% Efficiency Wetting Basins (2003),180.889,357.207,5,Shallow Flooding,4041069.914,411606.6441,357.2
 T36-1W ,T36-1W,Managed Vegetation,176.318,357.207,7A,Managed Vegetation,4041466.102,411714.3107,357.2
 T36-2E ,T36-2E,99% Efficiency Wetting Basins (2003),273.574,273.574,5,Shallow Flooding,4040090.982,413643.437,275.8
 T36-2W ,T36-2W,99% Efficiency Wetting Basins (2003),247.526,390.1,5,Shallow Flooding,4040730.693,411433.3574,391.6
 T36-2W ,T36-2W,99% Efficiency Wetting Basins (2003),142.574,390.1,5,Brine,4040350.225,411671.3948,391.6
 T36-3 Addition ,T36-3 Addition,Brine,22.7911,22.7911,7,Brine,4039410.054,414627.8989,21.4
 T36-3E ,T36-3E,Brine,138.883,138.883,5,Brine,4039584.002,413698.2931,143.1
 T36-3W ,T36-3W,Brine,78.0933,78.0933,5,Brine,4040001.364,412197.7247,82.6
 T36-3W ,T37-1,Gravel,137.33,137.33,7B,Gravel,4042078.448,408065.9912,82.6
 T37-1a ,T37-1a,No DCM,115.625,115.625,9,Gravel,4042853.196,408501.2391,115.6
 T37-2 ,T37-2,99% Efficiency Wetting Basins (2008),286.999,377.7774,7A,Sprinkler Shallow Flooding,4037088.609,408683.7247,377.8
 T37-2 ,T37-2,No DCM,17.8872,377.7774,7B,No BACM,4038130.87,408953.542,377.8
 T37-2 ,T37-2,Managed Vegetation,72.8912,377.7774,7A,Managed Vegetation,4037903.193,408637.2288,377.8
 T37-2a ,T37-2a,No DCM,116.251,116.251,9,Sprinkler Shallow Flooding,4038748.736,409286.6075,116.3
 T37-2b ,T37-2b,No DCM,41.5666,41.5666,9,Sprinkler Shallow Flooding,4037586.018,409300.9478,41.6
 T37-2c ,T37-2c,No DCM,31.2677,31.2677,9,Sprinkler Shallow Flooding,4036669.594,408848.8762,31.3
 T37-2d ,T37-2d,No DCM,120.051,120.051,9,Sprinkler Shallow Flooding,4035612.165,408540.632,120.1
 T3NE ,T3NE,Tillage With BACM Backup,108.49,149.1524,2,Tillage With BACM Backup,4022075.352,412473.5349,149.2
 T3NE ,T3NE,Tillage With BACM Backup,40.6624,149.1524,2,Proposed Brine,4022457.042,412592.2277,149.2
 T3SE ,T3SE,Tillage With BACM Backup,318.727,318.727,2,Tillage With BACM Backup,4021278.693,412504.0483,318.7
 T3SE Addition ,T3SE Addition,99% Efficiency Wetting Basins (2003),77.5357,77.5357,5,Shallow Flooding,4020392.939,412697.1086,77.5
 T3SW ,T3SW,Tillage With BACM Backup,386.56,386.56,2,Tillage With BACM Backup,4020833.2,411375.6544,386.5
 T4-3 ,T4-3,99% Efficiency Wetting Basins (2003),149.372,149.372,1,Shallow Flooding,4020863.831,413572.3076,149.4
 T4-3 Addition ,T4-3 Addition,99% Efficiency Wetting Basins (2003),87.4159,87.4159,5,Sprinkler Shallow Flooding,4020415.556,413509.3526,87.4
